sdr_id,sdr_name,sdr_team,sdr_experience,sdr_email,hire_date
a8387c01a09e99ce014107505b92388c,Daniel Rocha,Gamma,Senior,sdr576@olist.com,2017-05-02
09285259593c61296eef10c734121d5b,Mariana Souza,Omega,Mid-Level,sdr062@olist.com,2017-02-27
b90f87164b5f8c2cfa5c8572834dbe3f,Patricia Rocha,Omega,Junior,sdr461@olist.com,2017-06-11
56bf83c4bb35763a51c2baab501b4c67,Patricia Fernandes,Gamma,Senior,sdr353@olist.com,2017-01-14
4b339f9567d060bcea4f5136b9f5949e,João Fernandes,Omega,Mid-Level,sdr591@olist.com,2017-05-21
fdb16d3cbbeb5798f2f66c4096be026d,Beatriz Alves,Beta,Senior,sdr364@olist.com,2017-03-22
34d40cdaf94010a1d05b0d6212f9e909,Larissa Rocha,Omega,Lead,sdr911@olist.com,2017-01-13
f42a2bd194f7802ab052a815c8de65b7,Rodrigo Lima,Delta,Mid-Level,sdr890@olist.com,2017-02-21
9d12ef1a7eca3ec58c545c678af7869c,Daniel Araújo,Delta,Lead,sdr870@olist.com,2017-01-03
de63de0d10a6012430098db33c679b0b,Ricardo Araújo,Beta,Senior,sdr325@olist.com,2017-06-10
068066e24f0c643eb1d089c7dd20cd73,Carolina Nascimento,Epsilon,Lead,sdr278@olist.com,2017-04-25
9e4d1098a3b0f5da39b0bc48f9876645,Gustavo Fernandes,Omega,Lead,sdr424@olist.com,2017-02-06
370c9f455f93a9a96cbe9bea48e70033,Gustavo Silva,Beta,Mid-Level,sdr678@olist.com,2017-03-24
e7dff61b78bebffa71678e126ce669ad,Carolina Oliveira,Beta,Mid-Level,sdr407@olist.com,2017-01-04
6aa3b86a83d784b05f0e37e26b20860d,Maria Rocha,Epsilon,Junior,sdr027@olist.com,2017-04-17
084b6fbb10729ed4da8c3d3f5a3ae7c9,Isabela Oliveira,Alpha,Senior,sdr633@olist.com,2017-02-03
9749123c950bf8363ace42cb1c2d0815,Beatriz Carvalho,Gamma,Mid-Level,sdr254@olist.com,2017-06-10
0a0fb2b07d841f84fb6714e35c723075,Gabriela Pereira,Beta,Mid-Level,sdr030@olist.com,2017-01-22
45749fb708130f78d0db07d8d80f030b,Rafael Araújo,Delta,Lead,sdr999@olist.com,2017-05-09
282f16e20d50cb18d05182e80f6b9dd6,Felipe Martins,Beta,Mid-Level,sdr606@olist.com,2017-05-15
f6c6ab65a1c732f154b371401448be6d,Beatriz Monteiro,Delta,Senior,sdr931@olist.com,2017-03-16
2b63542749aa9caf15f21816da1db341,Felipe Almeida,Alpha,Lead,sdr316@olist.com,2017-03-14
b34f6eba10f46bf9a657a01c108a8284,Patricia Pereira,Gamma,Junior,sdr001@olist.com,2017-05-27
0cdad77786224a7cefea567b8c75c3c1,Isabela Pereira,Gamma,Senior,sdr481@olist.com,2017-05-01
6b13bcea409754a002210eb96b8aad4a,Carolina Rocha,Delta,Senior,sdr010@olist.com,2017-04-26
33dd30594303eb0ebe12a556d612c437,Lucas Mendes,Beta,Junior,sdr562@olist.com,2017-03-07
323cff2ceea1814239bc2c7e614d260d,Bruno Alves,Delta,Lead,sdr256@olist.com,2017-02-23
5b7ce8c2b0fe4c2f52a0763046914ef4,Marcos Carvalho,Delta,Mid-Level,sdr270@olist.com,2017-01-14
19f3cd308f1455b3fa09a282e0d496f4,Beatriz Almeida,Epsilon,Senior,sdr292@olist.com,2017-06-24
b1b3ec93fc27a19fdb1c1b1fc997776a,Felipe Nascimento,Delta,Mid-Level,sdr874@olist.com,2017-01-06
e4a6222cdb5b34375400904f03d8e6a5,Fernanda Lima,Alpha,Lead,sdr633@olist.com,2017-04-09
9ae085775a198122c5586fa830ff7f2b,Carolina Mendes,Delta,Mid-Level,sdr329@olist.com,2017-01-05
