sr_id,sr_name,sr_team,sr_experience,sr_email,hire_date
4ef15afb4b2723d8f3d81e51ec7afefe,Carlos Alves,Alpha,Mid-Level,sr996@olist.com,2016-02-10
d3d1e91a157ea7f90548eef82f1955e3,Patricia Pereira,Omega,Lead,sr745@olist.com,2016-01-08
6565aa9ce3178a5caf6171827af3a9ba,Maria Pereira,Alpha,Lead,sr223@olist.com,2016-06-14
495d4e95a8cf8bbf8b432b612a2aa328,Lucas Rocha,Gamma,Lead,sr714@olist.com,2016-01-11
85fc447d336637ba1df43e793199fbc8,Maria Pereira,Alpha,Senior,sr795@olist.com,2016-07-03
9e4d1098a3b0f5da39b0bc48f9876645,Felipe Rocha,Beta,Mid-Level,sr918@olist.com,2016-05-27
2695de1affa7750089c0455f8ce27021,Mariana Silva,Alpha,Mid-Level,sr395@olist.com,2016-08-08
9ae085775a198122c5586fa830ff7f2b,Marcos Santos,Beta,Lead,sr753@olist.com,2016-02-17
de63de0d10a6012430098db33c679b0b,André Rodrigues,Delta,Lead,sr698@olist.com,2016-05-11
060c0a26f19f4d66b42e0d8796688490,Ricardo Santos,Omega,Junior,sr260@olist.com,2016-08-21
fbf4aef3f6915dc0c3c97d6812522f6a,Lucas Rodrigues,Gamma,Junior,sr885@olist.com,2016-11-07
c638112b43f1d1b86dcabb0da720c901,João Almeida,Omega,Lead,sr333@olist.com,2016-01-06
a8387c01a09e99ce014107505b92388c,Daniel Nascimento,Epsilon,Junior,sr406@olist.com,2016-04-01
068066e24f0c643eb1d089c7dd20cd73,Carlos Monteiro,Omega,Lead,sr705@olist.com,2016-10-05
0a0fb2b07d841f84fb6714e35c723075,Rafael Oliveira,Beta,Mid-Level,sr512@olist.com,2016-02-22
34d40cdaf94010a1d05b0d6212f9e909,Rodrigo Araújo,Omega,Junior,sr062@olist.com,2016-06-21
56bf83c4bb35763a51c2baab501b4c67,Fernanda Alves,Alpha,Mid-Level,sr500@olist.com,2016-04-11
9d12ef1a7eca3ec58c545c678af7869c,Felipe Fernandes,Delta,Mid-Level,sr022@olist.com,2016-12-13
4b339f9567d060bcea4f5136b9f5949e,Rafael Pereira,Gamma,Junior,sr497@olist.com,2016-12-15
9749123c950bf8363ace42cb1c2d0815,Felipe Lima,Epsilon,Lead,sr195@olist.com,2016-10-06
b90f87164b5f8c2cfa5c8572834dbe3f,Felipe Fernandes,Gamma,Lead,sr282@olist.com,2016-10-28
6aa3b86a83d784b05f0e37e26b20860d,Felipe Costa,Alpha,Mid-Level,sr461@olist.com,2016-05-27
